"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1001","大鵬華城","28","10","新店區","20220420184415","24.99116","121.53398","新北市新店區中正路700巷3號","Xindian Dist.","Dapeng Community","No. 3, Lane 700 Chung Cheng Road, Xindian District","14","1"
"1002","汐止火車站","44","18","汐止區","20220420184416","25.068914","121.662748","南昌街/新昌路口(西側廣場)","Xizhi Dist.","Xizhi Railway Station","Nanchang St./Xinchang Rd.","24","1"
"1003","汐止區公所","46","20","汐止區","20220420184427","25.064162","121.658301","新台五路一段/仁愛路口(新台五路側汐止地政事務所前機車停車場)","Xizhi Dist.","Xizhi Dist. Office","Sec. 1, Xintai 5th Rd./Ren’ai Rd.","25","1"
"1004","國泰綜合醫院","48","19","汐止區","20220420184419","25.07315","121.662555","建成路78號對面停車場","Xizhi Dist.","Cathay General Hospital","No78, Jiancheng Rd","28","1"
"1005","裕隆公園","32","10","新店區","20220420184416","24.979649","121.546319","寶中路/品牌路口(東南側)","Xindian Dist.","Yulon Park","Baozhong Rd./","22","1"
"1006","捷運大坪林站(5號出口)","78","72","新店區","20220420184430","24.982830","121.543620","中興路三段224號(對面)","Xindian Dist.","MRT DaPingLin Station(Exit.5)","No. 224, Sec. 3, Zhongxing Rd., Xindian Dist.(opposite)","0","1"
"1007","汐科火車站(北)","26","20","汐止區","20220420184423","25.064106","121.653019","大同路二段184巷/龍安路202巷(西側)(汐科火車站北站出口前)","Xizhi Dist.","Xike Railway Station(North)","Ln. 184,Sec. 2, Datong Rd./Ln. 202,Long’an Rd.","5","1"
"1008","興華公園","40","13","三重區","20220420184425","25.060125","121.483101","重陽路一段120巷/中華路2巷","Sanchong Dist.","Xinghua Park","Ln. 120, Sec. 1, Chongyang Rd./Ln. 2, Zhonghua Rd.","27","1"
"1009","三重國民運動中心","68","35","三重區","20220420184417","25.054391","121.488489","集美街/重新路四段184巷","Sanchong Dist.","San chong Civil Sports Center","Jimei St., Sanchong Dist./Ln. 184, Sec. 4, Chongxin Rd.","30","1"
"1010","捷運三重站(3號出口)","24","9","三重區","20220420184431","25.055883","121.484739","捷運路/捷運路37巷","Sanchong Dist.","MRT Sanchong Sta. (Exit 3)","Jieyun Rd./Ln. 37, Jieyun Rd.","15","1"
"1011","樟樹國小","48","1","汐止區","20220420184419","25.066688","121.640367","樟樹二路/樟樹一路141巷","Xizhi Dist.","Zhangshu Elementary School","Zhangshu 2nd Rd./Ln. 141, Zhangshu 1st Rd.","46","1"
"1012","金龍國小","52","15","汐止區","20220420184424","25.0688","121.628908","中興路/民族六街","Xizhi Dist.","Jinlong Elementary School","Zhongxing Rd./Minzu 6th St.","37","1"
"1013","白雲國小","36","19","汐止區","20220420184438","25.047578","121.618888","民權街二段90號","Xizhi Dist.","Pai Yun Primary School","No.90, Sec. 2, Minquan St.","17","1"
"1014","東勢宜興活動中心","52","28","汐止區","20220420184422","25.039031","121.624333","東勢街/芳園街","Xizhi Dist.","Yixing-Dongshi Civic Center","Dongshi St./Fangyuan St.","24","1"
"1015","後港公園","40","9","新莊區","20220420184323","25.025358","121.428348","建安街/建安街57巷","Xinzhuang Dist.","Hougang Park","Ln. 57, Jian’an St./Jian’an St.","25","1"
"1016","福營行政中心","42","13","新莊區","20220420184436","25.0241250","121.423870","四維路17號-20號","Xinzhuang Dist.","Fuying Administration Center","No.17, Siwei Rd./No.20, Siwei Rd.","21","1"
"1017","西盛公園","36","14","新莊區","20220420184442","25.017113","121.428048","新莊區西盛街/西盛街201巷","Xinzhuang Dist.","Xisheng Park","Xisheng St./Ln. 201, Xisheng St.","22","1"
"1018","忠誠里(北新路2段97巷)","20","0","新店區","20220420184438","24.974272","121.542779","北新路二段/北新路二段97巷","Xindian Dist.","Zhongcheng Village (Ln. 97, Sec. 2, Beixin Rd)","Sec. 2, Beixin Rd./Ln. 97, Sec. 2, Beixin Rd.","20","1"
"1019","仁愛廣場","50","11","蘆洲區","20220420184417","25.090565","121.471621","民權路139號旁","Luzhou Dist.","Renai Square","No.139, Minquan Rd.","39","1"
"1020","重陽國小","36","8","三重區","20220420184425","25.066245 ","121.484337 ","中正北路/三民街175巷","Sanchong Dist.","Chong Yang Elementary School","Zhongzheng N. Rd./Ln. 175, Sanmin St.","6","1"
"1021","明志國中","50","2","三重區","20220420184441","25.063396","121.488982","中正北路107號","Sanchong Dist.","Mingzhi Junior High School","No.107, Zhongzheng N. Rd","48","1"
"1022","三重商工","64","0","三重區","20220420184441","25.068681","121.480705","中正北路/中正北路276巷","Sanchong Dist.","San-Chung Commercial and Industrial Vocational High School","Ln. 276, Zhongzheng N. Rd.","64","1"
"1023","捷運新莊站(1號出口)","58","20","新莊區","20220420184433","25.036152 ","121.452069 ","中正路/中華路一段(鄰近新莊廟街)","Xinzhuang Dist.","MRT Xinzhuang Sta. (Exit 1)","Zhongzheng Rd./Sec. 1, Zhonghua Rd.","7","1"
"1024","原興廣場","52","8","汐止區","20220420184424","25.065042","121.633149","原興路/中興路150巷","Xizhi Dist.","Yuan Xing Square","Yuanxing Rd./Ln. 150, Zhongxing Rd.","44","1"
"1025","文化白雲公園","68","3","汐止區","20220420184439","25.056875","121.655207","水源路二段42號訖水源路二段68號","Xizhi Dist.","Wenhua-Baiyun Park","No.42 to No.68, Sec. 2, Shuiyuan Rd.","65","1"
"1026","秀山國小","62","35","中和區","20220420184417","24.996151 ","121.521988 ","更生街/自立路(西南側)","Zhonghe Dist.","Xiushan Elementary School","Gengsheng St./Zili Rd.","27","1"
"1027","捷運永安市場站","60","40","中和區","20220420184441","25.001013 ","121.511588 ","中安街/中和路378巷(東南側)","Zhonghe Dist.","MRT Yongan Market Sta.","Zhong’an St./Ln. 378, Zhonghe Rd.","16","1"
"1028","福和國中","58","0","永和區","20220408132941","25.005952","121.520930","永貞路/永亨路(東南側)","Yonghe Dist.","Fuhe Junior High School","Yongzhen Rd./Yongheng Rd.","2","1"
